"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership"
268 4 2 6 1 11 3 1
268 5 2 6 1 74 5 1
269 1 1 1 1 48 1 2
269 2 2 1 1 47 2 2
269 3 2 1 1 19 3 2
270 1 2 1 3 23 1 2
270 2 1 1 3 30 2 2
270 3 2 1 3 8 3 2
270 4 2 1 3 8 3 2
270 5 1 1 3 3 3 2
271 1 1 1 1 24 1 2
271 2 2 8 1 23 11 2
272 1 1 1 1 40 1 1
272 2 2 1 1 40 2 1
272 3 1 1 1 16 3 1
272 4 1 1 1 13 3 1
273 1 2 1 5 31 1 1
273 2 1 1 3 47 2 1
273 3 1 1 3 4 3 1
273 4 1 1 5 29 7 1
273 5 2 1 5 50 5 1
274 1 2 1 1 74 1 1
274 2 1 1 1 79 2 1
275 1 2 1 1 41 1 2
275 2 2 1 1 16 3 2
276 1 2 1 1 49 1 1
276 2 2 1 1 23 3 1
276 3 2 1 1 46 11 1
277 1 1 1 1 55 1 1
277 2 2 1 1 54 2 1
278 1 1 1 1 72 1 1
278 2 2 1 1 70 2 1
278 3 2 1 1 21 9 1
279 1 1 1 1 75 1 1
279 2 2 1 1 66 2 1
280 1 2 1 1 44 1 2
280 2 1 1 1 2 3 2
281 1 1 1 1 66 1 1
281 2 2 1 1 66 2 1
282 1 1 1 1 49 1 1
282 2 2 1 1 49 2 1
282 3 2 1 1 24 3 1
282 4 2 1 1 16 3 1
283 1 2 2 1 37 1 2
283 2 1 2 1 18 3 2
283 3 1 2 1 11 3 2
283 4 2 2 1 8 3 2
283 5 1 2 1 7 3 2
283 6 2 2 1 5 3 2
284 1 1 1 1 37 1 1
284 2 2 1 5 33 2 1
285 1 1 1 1 51 1 1
285 2 2 1 1 55 2 1
285 3 1 1 1 18 3 1
286 1 1 1 1 83 1 1
286 2 2 1 1 80 2 1
287 1 1 4 1 62 1 1
287 2 2 4 1 57 2 1
288 1 1 1 1 72 1 1
288 2 2 1 1 70 2 1
289 1 2 2 1 63 1 1
289 2 1 2 1 70 2 1
290 1 2 1 1 27 1 2
290 2 1 2 1 28 2 2
291 1 1 1 1 72 1 1
291 2 2 1 1 68 2 1
292 1 1 1 1 54 1 1
292 2 2 1 1 52 2 1
292 3 2 1 1 80 6 1
293 1 1 1 1 59 1 1
293 2 2 6 1 44 2 1
293 3 2 6 1 9 3 1
294 1 2 1 1 66 1 1
294 2 1 1 1 67 2 1
295 1 1 6 1 26 1 2
295 2 2 6 1 23 7 2
296 1 2 1 1 57 1 1
296 2 1 1 1 58 2 1
296 3 1 1 1 26 3 1
296 4 1 1 1 25 3 1
297 1 1 1 1 43 1 2
297 2 2 1 1 13 3 2
297 3 2 1 1 17 3 2
298 1 2 1 1 29 1 1
298 2 1 1 1 28 2 1
298 3 2 1 1 1 3 1
299 1 1 6 1 76 1 2
299 2 1 6 1 41 3 2
299 3 2 6 1 30 3 2
299 4 1 6 1 11 9 2
299 5 2 6 1 2 9 2
299 6 1 6 1 32 4 2
300 1 1 7 2 32 1 1
300 2 2 7 3 31 2 1
