"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
163 2 2 NA 1 NA 2 NA 1 NA 1 65
164 2 2 1 1 62 2 1 NA 1 1 67
165 2 2 NA NA NA 2 NA 1 NA NA 51
165 3 1 1 1 17 NA NA 1 NA NA 51
166 2 2 NA 2 NA 2 1 1 1 2 30
166 3 2 1 2 NA 3 1 1 1 2 30
166 4 2 1 NA 7 NA 1 1 1 2 30
167 2 1 1 1 NA 2 1 2 1 1 29
167 3 2 1 1 1 NA 1 2 1 1 29
168 2 2 2 1 14 NA NA 2 2 1 40
169 2 2 NA 1 NA 2 NA 1 6 1 34
170 2 NA 1 NA NA 3 1 1 1 NA 62
171 2 2 NA 1 NA NA 1 1 NA 1 45
172 2 1 NA 2 25 2 1 2 1 NA 24
172 3 NA NA 1 6 NA 1 2 1 NA 24
172 4 2 NA 2 2 3 1 2 1 NA 24
173 2 2 1 1 NA 2 NA 1 NA 1 61
174 2 2 1 1 64 2 1 1 1 1 64
175 2 1 2 NA NA NA 1 NA 2 1 37
175 3 2 2 1 NA 3 1 NA 2 1 37
176 2 2 1 1 66 2 NA NA 1 NA 57
177 2 2 1 1 29 2 1 NA 1 1 30
178 2 2 1 1 55 2 1 1 NA 1 56
179 2 2 6 NA 59 2 NA NA 6 1 65
179 3 NA NA 1 71 NA NA NA 6 1 65
180 2 2 1 NA NA 2 1 1 1 1 62
181 2 2 1 1 32 2 1 1 NA NA 31
181 3 1 NA 1 2 NA 1 1 NA NA 31
182 2 1 2 1 NA 2 1 2 NA 1 51
182 3 2 2 1 21 3 1 2 NA 1 51
183 2 2 6 1 NA NA 1 NA 6 1 38
183 3 NA NA 1 10 3 1 NA 6 1 38
184 2 2 1 1 42 2 1 NA NA NA 49
184 3 1 1 1 14 5 1 NA NA NA 49
185 2 2 1 NA 44 NA 2 NA 1 NA 44
185 3 2 NA 1 16 5 2 NA 1 NA 44
185 4 2 1 1 13 NA 2 NA 1 NA 44
186 2 NA 1 1 57 2 NA 1 1 1 58
187 2 1 1 NA 61 12 1 2 1 1 67
188 2 NA 1 1 77 NA NA 1 1 1 81
189 2 2 NA NA 10 NA NA 2 NA 1 57
189 3 2 NA 1 5 8 NA 2 NA 1 57
189 4 2 1 1 49 12 NA 2 NA 1 57
190 2 1 1 1 NA 2 1 2 NA 1 62
191 2 NA 2 1 56 3 1 2 2 NA 80
192 2 NA NA 1 NA 2 2 2 1 NA 63
193 2 1 1 1 34 NA 1 2 NA 1 37
194 2 2 1 2 68 NA 1 1 1 2 67
195 2 1 1 NA NA 2 1 2 8 1 72
196 2 2 1 1 NA 2 NA 1 1 NA 25
197 2 NA 1 2 64 2 1 NA 1 2 63
198 2 2 1 NA NA 2 1 1 1 1 53
198 3 1 1 1 17 3 1 1 1 1 53
199 2 2 1 NA NA 2 NA NA 1 1 65
199 3 1 1 1 NA 3 NA NA 1 1 65
199 4 NA NA NA 13 8 NA NA 1 1 65
200 2 NA NA 1 72 2 1 1 1 1 78
201 2 NA NA NA NA NA 1 1 NA NA 35
201 3 NA 1 NA 9 3 1 1 NA NA 35
202 2 NA 1 1 NA 2 2 2 1 1 43
203 2 2 1 1 NA 2 1 NA NA 1 55
203 3 NA 1 NA 13 3 1 NA NA 1 55
204 2 NA 1 1 50 2 1 1 1 NA 50
204 3 1 1 1 13 NA 1 1 1 NA 50
204 4 1 NA NA 11 3 1 1 1 NA 50
205 2 NA 1 1 51 11 NA NA 1 NA 50
206 2 2 1 1 65 2 1 NA 1 1 66
206 3 1 1 NA 19 NA 1 NA 1 1 66
207 2 2 1 2 23 NA 2 2 NA 2 40
208 2 1 1 1 NA 2 1 2 NA NA 53
208 3 1 1 1 16 NA 1 2 NA NA 53
209 2 NA 1 1 NA 2 1 2 1 1 40
209 3 NA 1 1 17 3 1 2 1 1 40
209 4 2 1 1 16 NA 1 2 1 1 40
210 2 1 NA 1 NA 2 1 2 1 NA 56
211 2 1 1 NA 6 NA 2 2 1 1 26
212 2 1 NA 1 61 12 NA 2 2 NA 52
213 2 1 1 1 NA 2 NA 2 NA NA 34
214 2 2 1 1 NA 2 2 1 NA NA 56
215 2 2 NA 1 39 2 1 1 1 NA 39
215 3 2 1 1 NA 3 1 1 1 NA 39
215 4 NA 1 1 NA NA 1 1 1 NA 39
216 2 1 1 1 45 2 1 2 1 1 46
217 2 2 1 1 NA 2 2 1 NA NA 51
217 3 NA 1 NA NA NA 2 1 NA NA 51
218 2 1 NA 2 76 NA 1 2 1 2 72
219 2 NA 2 1 19 3 NA NA 2 1 51
220 2 2 NA 1 50 NA 1 1 1 1 50
220 3 NA 1 NA 15 NA 1 1 1 1 50
220 4 1 1 NA 12 3 1 1 1 1 50
221 2 NA NA NA 4 NA 2 2 2 1 24
221 3 1 2 1 3 NA 2 2 2 1 24
222 2 2 1 1 63 2 1 NA NA 1 62
223 2 2 1 NA 33 2 1 NA 1 NA 33
223 3 NA 1 2 2 NA 1 NA 1 NA 33
223 4 2 NA NA 1 3 1 NA 1 NA 33
224 2 2 NA 1 NA 2 NA 1 1 NA 59
225 2 NA 1 1 NA 2 1 1 1 1 35
